"","entry_name","doi","metadata","site","profile","flux","layer","interstitial","fraction","incubation"
"1","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015","1","1","3","61","0","0","0","0"
"2","Berg_2004","10.1007/978-3-662-06073-5_16","1","1","1","5","0","0","0","0"
"3","Berhe_2012","10.1029/2011JG001790","1","1","18","0","126","0","378","0"
"4","Binkley_1999","10.2136/sssaj1999.03615995006300010032x","1","1","2","0","6","0","0","0"
"5","Carbone_2008","10.1029/2007JG000611","1","1","2","0","3","0","0","3"
"6","Carbone_2011","10.1007/s00442-011-1975-3 ","1","2","12","0","12","0","0","12"
"7","Carbone_2016","10.1002/2016JG003386 ","1","1","5","0","5","0","0","5"
"8","Crews_1995","10.2307/1938144","1","6","6","0","6","0","0","0"
"9","Crow_2015","10.1007/s10533-014-0051-6","1","1","3","0","3","0","29","0"
"10","Cusack_2010","10.1111/j.1365-2486.2009.02131.x","1","2","17","0","17","0","0","53"
"11","Desjardins_1994","10.1016/0016-7061(94)90013-2","1","1","2","0","8","0","48","0"
"12","Doetterl_2012","10.1111/j.1365-2486.2012.02680.x","1","2","11","0","35","0","95","18"
"13","Doetterl 2015","10.1038/NGEO2516","1","24","24","0","24","0","0","24"
"14","Fernandez_1993a","10.4141/cjss93-034","1","1","1","0","5","0","0","0"
"15","Fierer 2005","10.1007/s10021-003-0151-y","1","1","6","10","42","29","8","0"
"16","Gentsch_2018","10.1111/gcb.14316","1","4","24","0","120","0","194","331"
"17","Harden_2002","10.1023/A:1020308729553","1","2","36","29","190","0","0","15"
"18","Hardie_2009","10.1016/j.geoderma.2009.09.002","1","1","2","11","0","0","0","0"
"19","Hardie_2011","10.1016/j.soilbio.2011.08.010","1","1","1","0","3","0","0","9"
"20","Hatton_2012","10.1016/j.orggeochem.2011.05.002","1","2","4","0","4","0","28","0"
"21","Hicks_Pries_2012","10.1007/s10021-011-9500-4","1","1","18","0","194","0","0","0"
"22","Hicks_Pries_2013","10.1111/gcb.12058","1","1","49","211","113","0","0","113"
"23","Hsieh_1996","10.2136/sssaj1996.03615995006000040022x","1","1","8","0","8","0","0","2"
"24","Kahru_2010","10.1890/09-0478.1","1","2","2","0","6","0","8","12"
"25","Khomo_2017","10.5194","1","13","16","0","151","0","169","68"
"26","Lawrence_2015","10.1016/j.geoderma.2015.02.005","1","11","17","0","74","0","0","12"
"27","Lemke_2006","israd","1","1","15","8","25","2","48","7"
"28","Lupascu_2014_unpub","10.5194/bg-11-4289-2014","1","1","8","18","38","24","0","38"
"29","Meyer_2012","10.5194/bg-9-853-2012","1","2","6","0","6","0","30","0"
"30","Monreal_1997","10.4141/S95-064","1","1","2","0","6","0","18","0"
"31","Mueller_2014","10.1016/j.soilbio.2013.11.006","1","1","1","0","1","0","9","16"
"32","Muhr_2009","10.1029/2009JG000998","1","1","1","6","6","0","0","9"
"33","Nagy_2017","10.5281/zenodo.1127667","1","35","44","0","205","0","0","205"
"34","Nowinski_2009","10.1029/2008JG000801","1","2","18","0","54","0","162","54"
"35","Nowinski_2010","10.1007/s00442-009-1556-x","1","1","13","0","23","0","0","23"
"36","Posada_2011","10.1007/s00442-010-1881-0","1","7","42","0","42","0","0","42"
"37","Schimel_2011","10.1016/j.soilbio.2011.01.008","1","1","1","0","2","0","0","4"
"38","Schulze_2009","10.1111/j.1365-2389.2009.01134.x","1","1","4","0","28","0","60","0"
"39","Schulze_2011","10.1007/s10533-010-9526-2","1","1","1","34","0","20","0","0"
"40","Schuur_2001","10.1890/0012-9658(2001)082[3182:CCASCS]2.0.CO;2","1","1","6","0","126","0","18","90"
"41","Schuur_2006","10.1111/j.1365-2486.2005.01066.x","1","3","10","5","13","0","0","7"
"42","Shaw_2004","10.1007/s10021-004-0135-6","1","1","1","0","4","0","0","0"
"43","Sierra_2012","10.5194/bg-9-3013-2012","1","1","54","175","70","0","0","70"
"44","Taylor_2015","10.1007/s10021-014-9839-4","1","1","57","24","51","0","57","62"
"45","Telles_2003","10.1029/2002GB001953","1","4","5","0","36","0","0","0"
"46","Trumbore_1993","10.1029/93GB00468","1","1","1","0","5","0","0","0"
"47","Vaughn_2014","10.5440/1364062","1","1","16","0","62","0","0","88"
"48","Waldrop_2012","10.1016/j.soilbio.2012.02.032","1","1","6","0","29","0","0","41"
"49","Wang_2000","10.1029/1999GB900074","1","4","4","171","0","0","0","0"
"50","Wunderlich_2012","10.5194/bg-9-3477-2012","1","1","30","103","30","0","0","26"
