"","entry_name","doi","compilation_doi","curator_name","curator_organization","curator_email","modification_date_y","modification_date_m","modification_date_d","contact_name","contact_email","contact_orcid_id","bibliographical_reference","metadata_note","associated_datasets","template_version","site_name","site_lat","site_long","site_datum","site_elevation","site_note","plot_name.x","pro_name","pro_note","pro_lat","pro_long","pro_elevation","pro_treatment","pro_treatment_note","pro_comp","pro_reps","pro_MAT","pro_MAP","pro_peatland","pro_usda_soil_order","pro_soil_series","pro_soil_taxon","pro_soil_taxon_sys","pro_chrono_name","pro_soil_age","pro_soil_age_note","pro_MAST","pro_MASWC","pro_land_cover","pro_lc_phenology","pro_lc_leaf_type","pro_lc_photosyn_path","pro_veg_note","pro_NPP","pro_bedrock_depth","pro_complete","pro_depth_water","pro_thaw_depth","pro_parent_material","pro_parent_chem","pro_parent_material_notes","pro_2d_position","pro_aspect","pro_aspect_deg","pro_slope","pro_slope_shape","pro_drainage_class","pro_soc","pro_soc_sigma","pro_soc_depth","pro_catchment_area","pro_permafrost","pro_thermokarst","pro_deforested","pro_water_body","pro_water_body_name","plot_name.y","flx_name","flx_lat","flx_long","flx_obs_date_y","flx_obs_date_m","flx_obs_date_d","flx_notes","flx_pathway","flx_pathway_note","flx_analyte","flx_ecosystem_component","flx_method","flx_method_note","flx_storage_method","flx_duration","flx_duration_units","flx_keeling_plot","flx_atm_correction","flx_source_temp","flx_source_O2","flx_source_H2O","flx_rate","flx_rate_sd","flx_rate_units","flx_analyte_conc","flx_discharge_rate","flx_aquatic_ph","flx_aquatic_cond","flx_13c","flx_13c_sd","flx_18o","flx_2h","flx_rc_lab","flx_rc_lab_number","flx_rc_year","flx_14c","flx_14c_sigma","flx_14c_sd","flx_fraction_modern","flx_fraction_modern_sigma","flx_fraction_modern_sd"
"1","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"62.866667  -65.366667",62.866667,-65.366667,NA,NA,"MainStem Not Yedoma",NA,"NA_Tuktu stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Tuktu stream",NA,"NA_Tuktu stream_NA DOC 1",NA,NA,1989,8,5,NA,"dissolved",NA,"DOC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9819,NA,NA
"2","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"62.866667  -65.366667",62.866667,-65.366667,NA,NA,"MainStem Not Yedoma",NA,"NA_Tuktu stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Tuktu stream",NA,"NA_Tuktu stream_NA POC 2",NA,NA,1989,8,5,NA,"suspended",NA,"POC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0121,NA,NA
"3","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"62.866667  -65.366667",62.866667,-65.366667,NA,NA,"MainStem Not Yedoma",NA,"NA_Tuktu stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Tuktu stream",NA,"NA_Tuktu stream_NA POC 3",NA,NA,1989,8,5,NA,"suspended",NA,"POC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1536,NA,NA
"4","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.166667  66.716667",63.166667,66.716667,NA,NA,"Lake Not Yedoma",NA,"NA_Avataq lake_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"Lake","Avataq lake",NA,"NA_Avataq lake_NA DOC 1",NA,NA,1989,8,5,NA,"dissolved",NA,"DOC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0644,NA,NA
"5","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.65  -68.35",63.65,-68.35,NA,NA,"MainStem Not Yedoma",NA,"NA_Meech stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Meech stream",NA,"NA_Meech stream_NA DOC 1",NA,NA,1990,5,25,NA,"dissolved",NA,"DOC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2058,NA,NA
"6","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.65  -68.35",63.65,-68.35,NA,NA,"MainStem Not Yedoma",NA,"NA_Meech stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Meech stream",NA,"NA_Meech stream_NA DOC 2",NA,NA,1990,5,25,NA,"dissolved",NA,"DOC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1061,NA,NA
"7","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.65  -68.35",63.65,-68.35,NA,NA,"MainStem Not Yedoma",NA,"NA_Meech stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Meech stream",NA,"NA_Meech stream_NA DOC 3",NA,NA,1990,5,25,NA,"dissolved",NA,"DOC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1112,NA,NA
"8","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.65  -68.35",63.65,-68.35,NA,NA,"MainStem Not Yedoma",NA,"NA_Meech stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Meech stream",NA,"NA_Meech stream_NA POC 4",NA,NA,1990,5,25,NA,"suspended",NA,"POC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9524,NA,NA
"9","Abbot_1996","10.1006/qres.1996.0031",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"63.65  -68.35",63.65,-68.35,NA,NA,"MainStem Not Yedoma",NA,"NA_Meech stream_NA","Frobisher Bay, Baffin Island  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Meech stream",NA,"NA_Meech stream_NA POC 5",NA,NA,1990,5,25,NA,"suspended",NA,"POC","aquatic","grab sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0363,NA,NA
"10","Aiken_2014","10.1002/2013GB004764",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,20190812,"59.333333  -133.75",59.333333,-133.75,NA,NA,"Glacial Not Yedoma",NA,"Atlin lake 2","Glacial waters",NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,"Gelisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"River","Yukon",NA,"Atlin lake 2_DOC 1",NA,NA,2006,7,6,NA,"dissolved","Glacial water","DOC","aquatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3212,NA,NA
