"","entry_name","doi","compilation_doi","curator_name","curator_organization","curator_email","modification_date_y","modification_date_m","modification_date_d","contact_name","contact_email","contact_orcid_id","bibliographical_reference","metadata_note","associated_datasets","template_version","site_name","site_lat","site_long","site_datum","site_elevation","site_note","plot_name","pro_name","pro_note","pro_lat","pro_long","pro_elevation","pro_treatment","pro_treatment_note","pro_comp","pro_reps","pro_MAT","pro_MAP","pro_peatland","pro_usda_soil_order","pro_soil_series","pro_soil_taxon","pro_soil_taxon_sys","pro_chrono_name","pro_soil_age","pro_soil_age_note","pro_MAST","pro_MASWC","pro_land_cover","pro_lc_phenology","pro_lc_leaf_type","pro_lc_photosyn_path","pro_veg_note","pro_NPP","pro_bedrock_depth","pro_complete","pro_depth_water","pro_thaw_depth","pro_parent_material","pro_parent_chem","pro_parent_material_notes","pro_2d_position","pro_aspect","pro_aspect_deg","pro_slope","pro_slope_shape","pro_drainage_class","pro_soc","pro_soc_sigma","pro_soc_depth","pro_catchment_area","pro_permafrost","pro_thermokarst","pro_deforested","pro_water_body","pro_water_body_name","ist_name","ist_obs_date_y","ist_obs_date_m","ist_obs_date_d","ist_all_org_neg","ist_depth","ist_notes","ist_phase","ist_analyte","ist_method","ist_storage_method","ist_time_dur","ist_temp","ist_source_O2","ist_source_H2O","ist_concentration","ist_concentration_units","ist_13c","ist_13c_sd","ist_18o","ist_2h","ist_rc_lab","ist_rc_lab_number","ist_rc_year","ist_14c","ist_14c_sigma","ist_14c_sd","ist_fraction_modern","ist_fraction_modern_sigma","ist_fraction_modern_sd"
"1","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75_CO2_1",1991,9,NA,NA,75,NA,NA,"CO2",NA,NA,NA,NA,NA,NA,NA,NA,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9097,NA,NA
"2","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110_CO2_2",1991,9,NA,NA,110,NA,NA,"CO2",NA,NA,NA,NA,NA,NA,NA,NA,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9432,NA,NA
"3","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160_CO2_3",1991,9,NA,NA,160,NA,NA,"CO2",NA,NA,NA,NA,NA,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8666,NA,NA
"4","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75_CH4_4",1991,9,NA,NA,75,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9234,NA,NA
"5","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110_CH4_5",1991,9,NA,NA,110,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA
"6","Aravena_1993","10.1017/S0033822200064948",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Lake Agassiz",48.78333333,-94.55,NA,NA,"Peat_NotPF Not Yedoma",NA,"Peatland","Rainy River Peatland. Small ombrogeneous peatland about 180 ha in northwestern Ontario, Canada. The peatland has developed in a small, shallow basin lacking any surface outlets. The basin became available for peatland development after deglaciation and withdrawal of proglacial Lake Agassiz by ca. 9.5 ka BP, but it remained dry until ca. 4.6 ka BP (Belyea 1991). Peatland inception through primary peat formation.  NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Histosols",NA,NA,NA,NA,NA,NA,NA,NA,"shrubland",NA,NA,NA,"The modern vegetation consists of na open shrub peatland comunity with wel-developed microtopography of Sphagnum fuscum,S. angustifolium and Cladina lichens. ClosedPiceamarianaforestocursinsomeareasofthepeatland. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160_CH4_6",1991,9,NA,NA,160,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8612,NA,NA
"7","Bellisario_1999","10.1029/1998GB900021",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Thompson",55.66666667,-97.86666667,NA,NA,"Peat_PF_Karst Not Yedoma",NA,"Bog","Large peatland complex 30 km west of Thompson, Manitoba, in the Northern Study Area (NSA) of the Boreal Ecosystem and Atmosphere Study (BOREAS). Within the discontinuous PF. PF absent in the wetlands but present in elevated plateaus. Collapse bog: Open graminoid bog near the margin of a collapse scar formed by the collapse of a palsa and separated from the regional ground water table. Dominated by Sph. riparium (99% cover) with Carex paupercula and Vaccinium oxycocus (14 and 5% cover, respectively). Seasonal WT -1cm and peat pore water pH = 4   NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Gelisols",NA,NA,NA,NA,NA,NA,NA,NA,"wetland",NA,NA,NA,"Sphagnum ripariurn( average 99% cover), with Carexp auperculaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,"35_CH4_1",1994,7,NA,NA,35,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-73.3,NA,NA,-387.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Bellisario_1999","10.1029/1998GB900021",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Thompson",55.66666667,-97.86666667,NA,NA,"Peat_PF_Karst Not Yedoma",NA,"Bog","Large peatland complex 30 km west of Thompson, Manitoba, in the Northern Study Area (NSA) of the Boreal Ecosystem and Atmosphere Study (BOREAS). Within the discontinuous PF. PF absent in the wetlands but present in elevated plateaus. Collapse bog: Open graminoid bog near the margin of a collapse scar formed by the collapse of a palsa and separated from the regional ground water table. Dominated by Sph. riparium (99% cover) with Carex paupercula and Vaccinium oxycocus (14 and 5% cover, respectively). Seasonal WT -1cm and peat pore water pH = 4   NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Gelisols",NA,NA,NA,NA,NA,NA,NA,NA,"wetland",NA,NA,NA,"Sphagnum ripariurn( average 99% cover), with Carexp auperculaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,"35_CH4_2",1994,7,NA,NA,35,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-61.9,NA,NA,-378.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bellisario_1999","10.1029/1998GB900021",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Thompson",55.66666667,-97.86666667,NA,NA,"Peat_PF_Karst Not Yedoma",NA,"Bog","Large peatland complex 30 km west of Thompson, Manitoba, in the Northern Study Area (NSA) of the Boreal Ecosystem and Atmosphere Study (BOREAS). Within the discontinuous PF. PF absent in the wetlands but present in elevated plateaus. Collapse bog: Open graminoid bog near the margin of a collapse scar formed by the collapse of a palsa and separated from the regional ground water table. Dominated by Sph. riparium (99% cover) with Carex paupercula and Vaccinium oxycocus (14 and 5% cover, respectively). Seasonal WT -1cm and peat pore water pH = 4   NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Gelisols",NA,NA,NA,NA,NA,NA,NA,NA,"wetland",NA,NA,NA,"Sphagnum ripariurn( average 99% cover), with Carexp auperculaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,"35_CH4_3",1994,7,NA,NA,35,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-50,NA,NA,-372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bellisario_1999","10.1029/1998GB900021",NA,"Gavin McNicol","Stanford University","gmcnicol@stanford.edu",2019,8,12,"Cristian Estop-Aragones","estopara@ualberta.ca",NA,"Estop-Aragones 2018",NA,NA,201910281615,"Thompson",55.66666667,-97.86666667,NA,NA,"Peat_PF_Karst Not Yedoma",NA,"Bog","Large peatland complex 30 km west of Thompson, Manitoba, in the Northern Study Area (NSA) of the Boreal Ecosystem and Atmosphere Study (BOREAS). Within the discontinuous PF. PF absent in the wetlands but present in elevated plateaus. Collapse bog: Open graminoid bog near the margin of a collapse scar formed by the collapse of a palsa and separated from the regional ground water table. Dominated by Sph. riparium (99% cover) with Carex paupercula and Vaccinium oxycocus (14 and 5% cover, respectively). Seasonal WT -1cm and peat pore water pH = 4   NA",NA,NA,NA,"control",NA,NA,NA,NA,NA,"yes","Gelisols",NA,NA,NA,NA,NA,NA,NA,NA,"wetland",NA,NA,NA,"Sphagnum ripariurn( average 99% cover), with Carexp auperculaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",NA,NA,NA,"35_CH4_4",1994,7,NA,NA,35,NA,NA,"CH4",NA,NA,NA,NA,NA,NA,NA,NA,-56,NA,NA,-368.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
