"","entry_name","doi","compilation_doi","curator_name","curator_organization","curator_email","modification_date_y","modification_date_m","modification_date_d","contact_name","contact_email","contact_orcid_id","bibliographical_reference","metadata_note","associated_datasets","template_version","site_name","site_lat","site_long","site_datum","site_elevation","site_note","plot_name","pro_name","pro_note","pro_lat","pro_long","pro_elevation","pro_treatment","pro_treatment_note","pro_comp","pro_reps","pro_MAT","pro_MAP","pro_usda_soil_order","pro_soil_series","pro_soil_taxon","pro_soil_taxon_sys","pro_chrono_name","pro_soil_age","pro_soil_age_note","pro_MAST","pro_MASWC","pro_land_cover","pro_lc_phenology","pro_lc_leaf_type","pro_lc_photosyn_path","pro_veg_note","pro_NPP","pro_bedrock_depth","pro_complete","pro_depth_water","pro_thaw_depth","pro_parent_material","pro_parent_chem","pro_parent_material_notes","pro_2d_position","pro_aspect","pro_aspect_deg","pro_slope","pro_slope_shape","pro_drainage_class","pro_soc","pro_soc_sigma","pro_soc_depth","pro_catchment_area","pro_permafrost","pro_thermokarst","pro_deforested","pro_water_body","pro_water_body_name","pro_graven_zone","pro_bio1","pro_bio2","pro_bio3","pro_bio4","pro_bio5","pro_bio6","pro_bio7","pro_bio8","pro_bio9","pro_bio10","pro_bio11","pro_bio12","pro_bio13","pro_bio14","pro_bio15","pro_bio16","pro_bio17","pro_bio18","pro_bio19","pro_PET","pro_SG_BD_0cm","pro_SG_BD_10cm","pro_SG_BD_30cm","pro_SG_BD_60cm","pro_SG_BD_100cm","pro_SG_BD_200cm","pro_SG_clay_0cm","pro_SG_clay_10cm","pro_SG_clay_30cm","pro_SG_clay_60cm","pro_SG_clay_100cm","pro_SG_clay_200cm","pro_SG_coarse_0cm","pro_SG_coarse_10cm","pro_SG_coarse_30cm","pro_SG_coarse_60cm","pro_SG_coarse_100cm","pro_SG_coarse_200cm","pro_SG_Cstock_0_10cm","pro_SG_Cstock_10_30cm","pro_SG_Cstock_30_60cm","pro_SG_Cstock_60_100cm","pro_SG_Cstock_100_200cm","pro_SG_orgC_0cm","pro_SG_orgC_10cm","pro_SG_orgC_30cm","pro_SG_orgC_60cm","pro_SG_orgC_100cm","pro_SG_orgC_200cm","pro_0.5_landCover_MODIS","pro_0.5_landCover","pro_0.5_MAP","pro_0.5_MAT","pro_0.5_USDA","lyr_name","lyr_obs_date_y","lyr_obs_date_m","lyr_obs_date_d","lyr_all_org_neg","lyr_top","lyr_bot","lyr_hzn","lyr_comp","lyr_igsn","lyr_note","lyr_color","lyr_color_dry","lyr_burn_ev","lyr_bd_samp","lyr_bd_tot","lyr_bd_notes","lyr_sand_tot_psa","lyr_silt_tot_psa","lyr_clay_tot_psa","lyr_coarse_tot","lyr_coarse_size_thresh","lyr_coarse_density","lyr_texture_class","lyr_bet_surface_area","lyr_ph_cacl","lyr_ph_h2o","lyr_ph","lyr_ph_method","lyr_cat_exch","lyr_base_sum","lyr_cec_sum","lyr_ca_exch","lyr_na_exch","lyr_mg_exch","lyr_k_exch","lyr_ecec","lyr_bs","lyr_c_inorg","lyr_c_org","lyr_c_tot","lyr_soc","lyr_soc_sigma","lyr_n_tot","lyr_son","lyr_c_to_n","lyr_loi","lyr_ha_fa","lyr_15n","lyr_13c","lyr_rc_lab","lyr_rc_lab_number","lyr_rc_year","lyr_14c","lyr_14c_sigma","lyr_14c_sd","lyr_fraction_modern","lyr_fraction_modern_sigma","lyr_fraction_modern_sd","lyr_mbc_method","lyr_raw_mbc","lyr_reported_mbc","lyr_p_ext","lyr_p_units","lyr_p_method","lyr_p_tot","lyr_p_stock","lyr_fe_py","lyr_al_py","lyr_fe_al_py","lyr_si_py","lyr_c_py","lyr_py_notes","lyr_fe_ox","lyr_al_ox","lyr_si_ox","lyr_c_ox","lyr_noncrystalline_ox","lyr_ox_notes","lyr_fe_hy","lyr_al_hy","lyr_si_hy","lyr_c_hy","lyr_hy_notes","lyr_fe_dith","lyr_al_dith","lyr_si_dith","lyr_dith_notes","lyr_quartz","lyr_alkali_feldspar","lyr_plag_feldspar","lyr_mica_chlorite","lyr_amphibole","lyr_pyroxine","lyr_olivine","lyr_volc_glass","lyr_kaol_halloy","lyr_smect_vermic","lyr_gibbsite","lyr_fe_oxides","lyr_imog_alloph","lyr_ferrihydrite","lyr_calcite_dolomite","lyr_zeolite","lyr_bd_samp_fill_extra","lyr_c_org_fill_extra","lyr_soc_fill_extra","lyr_14c_fill_extra","lyr_fill_notes_extra","lyr_graven_atm","lyr_dd14c","frc_name","inc_name","inc_type","inc_note","inc_obs_date_y","inc_obs_date_m","inc_obs_date_d","inc_duration","inc_duration_type","inc_analyte","inc_anaerobic","inc_temp","inc_moisture_type","inc_moisture","inc_moisture_units","inc_C_respired","inc_flux","inc_flux_units","inc_13c","inc_13c_sd","inc_rc_lab","inc_rc_lab_number","inc_rc_year","inc_14c","inc_14c_sigma","inc_14c_sd","inc_fraction_modern","inc_fraction_modern_sigma","inc_fraction_modern_sd","inc_graven_atm","inc_dd14c"
"1","Agnelli_2002","10.1046/j.1365-2389.2002.00432.x","10.1126/science.aad4273","J. Beem-Miller","ISRaD","jbeem@bgc-jena.mpg.de",2018,9,13,"Yujie He","yujiehe.pu@gmail.com",NA,"Agnelli, A., Trumbore, S. E., Corti, G., & Ugolini, F. C. (2002). The dynamics of organic matter in rock fragments in soil investigated by 14C dating and measurements of 13C. European Journal of Soil Science, 53(1), 147–159. doi:10.1046/j.1365-2389.2002.00432.x","Additional data exists for different coarse fragment sizes (incubation 14C, 13C, porosity)",NA,NA,"Agnelli_2002_Cavalla",43.7,11.6,NA,1100,NA,"Avg","Agnelli_2002_Cavalla_Avg",NA,43.7,11.6,NA,"control",NA,NA,3,NA,NA,"Inceptisols",NA,"Humic cambisol","WRB",NA,NA,NA,NA,NA,"forest",NA,NA,NA,"temperate forest;Abies alba about 70 years old;NA",NA,NA,NA,NA,NA,"sedimentary-clastics",NA,"soliflucted material on buried paleosol",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"north",81,57,24,6102,212,-17,229,50,161,161,8,889,110,46,22,288,168,168,215,657,95,102,109,133,139,141,23,24,29,30,30,30,15,16,17,19,21,22,7,9,6,4,11,18,15,6,2,2,2,12,5,847.659973144531,9.42000007629395,"Inceptisol","Agnelli_2002_Cavalla_Avg_0_11",1996,11,NA,NA,0,11,"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.43153,0.02299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,1.0749651603126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43153,69,NA,109.8,-40.8,NA,"Agnelli_2002_Cavalla_Avg_0_11_inc","root-picked soil","no inc_flux available",1997,NA,NA,14,"<2 weeks",NA,NA,25,"rewetted",50,"% field capacity",NA,NA,NA,-24.8,NA,"CAMS",NA,NA,135.4,NA,NA,1.1418738051476,NA,NA,109.8,25.6
"2","Agnelli_2002","10.1046/j.1365-2389.2002.00432.x","10.1126/science.aad4273","J. Beem-Miller","ISRaD","jbeem@bgc-jena.mpg.de",2018,9,13,"Yujie He","yujiehe.pu@gmail.com",NA,"Agnelli, A., Trumbore, S. E., Corti, G., & Ugolini, F. C. (2002). The dynamics of organic matter in rock fragments in soil investigated by 14C dating and measurements of 13C. European Journal of Soil Science, 53(1), 147–159. doi:10.1046/j.1365-2389.2002.00432.x","Additional data exists for different coarse fragment sizes (incubation 14C, 13C, porosity)",NA,NA,"Agnelli_2002_Cavalla",43.7,11.6,NA,1100,NA,"Avg","Agnelli_2002_Cavalla_Avg",NA,43.7,11.6,NA,"control",NA,NA,3,NA,NA,"Inceptisols",NA,"Humic cambisol","WRB",NA,NA,NA,NA,NA,"forest",NA,NA,NA,"temperate forest;Abies alba about 70 years old;NA",NA,NA,NA,NA,NA,"sedimentary-clastics",NA,"soliflucted material on buried paleosol",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"north",81,57,24,6102,212,-17,229,50,161,161,8,889,110,46,22,288,168,168,215,657,95,102,109,133,139,141,23,24,29,30,30,30,15,16,17,19,21,22,7,9,6,4,11,18,15,6,2,2,2,12,5,847.659973144531,9.42000007629395,"Inceptisol","Agnelli_2002_Cavalla_Avg_11_23",1996,11,NA,NA,11,23,"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.22128,0.0216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-37.2,NA,NA,0.968172550373219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22128,-37.2,NA,109.8,-147,NA,"Agnelli_2002_Cavalla_Avg_11_23_inc","root-picked soil","no inc_flux available",1997,NA,NA,14,"<2 weeks",NA,NA,25,"rewetted",50,"% field capacity",NA,NA,NA,-25.6,NA,"CAMS",NA,NA,38.7,NA,NA,1.04462244266938,NA,NA,109.8,-71.1
"3","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Windy Lake, Nunavut",68.1,-106.6,"WGS84",50,"Arctic tundra",NA,"WIN","no pro_soil_taxon reported",68.1,-106.6,50,"control",NA,"yes",25,-14,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tundra",NA,NA,NA,"arctic tundra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,NA,5,NA,NA,NA,NA,NA,NA,"north",-137,73,14,15226,132,-364,496,55,-316,64,-316,141,28,4,66,72,14,64,14,194,80,111,120,122,115,119,23,23,23,24,23,23,6,6,6,7,7,11,11,15,8,7,5,27,21,6,4,2,0,NA,NA,143.550003051758,-13.3766670227051,"Gelisol","WIN_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.11428571428571,NA,0.144,NA,NA,NA,17,NA,NA,NA,-26.2,"OZ",NA,NA,1.41198965644462,1.41198965644462,1.41198965644462,1.007,NA,NA,"chloroform fumigation extraction",NA,3.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,4.11428571428571,0.144,1.41198965644462,NA,109.8,-108.388010343555,NA,"WIN_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00164,"mgC/g dry soil/day",-27.2,NA,"OZ",NA,NA,101.851523872235,101.851523872235,101.851523872235,1.108,0.01,NA,109.8,-7.94847612776493
"4","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Ray's Camp, NWT",64.8,-110.6,"WGS84",460,"Subarctic tundra",NA,"RAY","no pro_soil_taxon reported",64.8,-110.6,460,"control",NA,"yes",25,-11.8,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tundra",NA,NA,NA,"subarctic tundra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,NA,5,NA,NA,NA,NA,NA,NA,"north",-116,87,17,15125,149,-361,510,66,-298,77,-302,264,43,10,48,113,33,108,34,238,76,108,116,115,115,119,12,13,13,14,12,12,9,9,10,11,12,13,9,17,22,30,74,24,18,15,14,15,14,7,9,283.730010986328,-10.0541667938232,"Gelisol","RAY_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.55,NA,0.131,NA,NA,NA,18.1,NA,NA,NA,-26.3,"OZ",NA,NA,27.2677113357569,27.2677113357569,27.2677113357569,1.033,NA,NA,"chloroform fumigation extraction",NA,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,6.55,0.131,27.2677113357569,NA,109.8,-82.5322886642431,NA,"RAY_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00197,"mgC/g dry soil/day",-26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8,NA
"5","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Yellowknife, NWT",62.5,-115,"WGS84",318,"Boreal forest",NA,"YKN","no pro_soil_taxon reported",62.5,-115,318,"control",NA,"yes",25,-5.2,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forest",NA,NA,NA,"boreal forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174,NA,5,NA,NA,NA,NA,NA,NA,"north",-52,97,18,15488,210,-326,536,122,-168,141,-254,274,41,11,42,109,37,101,46,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.760009765625,-4.83833312988281,NA,"YKN_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.1578947368421,NA,0.174,NA,NA,NA,34.8,NA,NA,NA,-26.7,"OZ",NA,NA,153.56296723086,153.56296723086,153.56296723086,1.16,NA,NA,"chloroform fumigation extraction",NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,9.1578947368421,0.174,153.56296723086,NA,109.8,43.7629672308596,NA,"YKN_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00392,"mgC/g dry soil/day",-24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8,NA
"6","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Wood Buffalo, Alberta",60.6,-115.3,"WGS84",320,"Boreal forest",NA,"BUF","no pro_soil_taxon reported",60.6,-115.3,320,"control",NA,"yes",25,-3.2,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forest",NA,NA,NA,"boreal forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175,NA,5,NA,NA,NA,NA,NA,NA,"north",-35,102,20,14199,205,-299,504,123,-133,138,-223,342,48,16,37,130,49,129,57,410,104,123,132,138,138,138,19,19,21,21,20,21,8,8,9,9,10,11,16,24,31,45,111,37,25,17,17,19,17,1,1,365.579986572266,-2.87750005722046,"Inceptisol","BUF_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.95454545454545,NA,0.175,NA,NA,NA,26.8,NA,NA,NA,-26.8,"OZ",NA,NA,156.546319732319,156.546319732319,156.546319732319,1.163,NA,NA,"chloroform fumigation extraction",NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,7.95454545454545,0.175,156.546319732319,NA,109.8,46.7463197323189,NA,"BUF_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00291,"mgC/g dry soil/day",-23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8,NA
"7","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Edmonton, Alberta",54.1,-110.9,"WGS84",640,"Aspen parkland",NA,"EDM","no pro_soil_taxon reported",54.1,-110.9,640,"control",NA,"yes",25,1.8,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forest",NA,NA,NA,"aspen parkland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199,NA,5,NA,NA,NA,NA,NA,NA,"north",12,121,26,11922,230,-234,464,153,-128,153,-151,438,82,14,65,225,53,225,54,512,110,126,143,155,164,167,21,22,24,26,26,28,8,7,8,9,11,13,5,6,3,3,7,11,7,2,1,1,1,14,5,422.690002441406,1.6158332824707,"Aridisol","EDM_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.2666666666667,NA,0.199,NA,NA,NA,25.6,NA,NA,NA,-26.8,"OZ",NA,NA,167.485278904336,167.485278904336,167.485278904336,1.174,NA,NA,"chloroform fumigation extraction",NA,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,13.2666666666667,0.199,167.485278904336,NA,109.8,57.6852789043355,NA,"EDM_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00326,"mgC/g dry soil/day",-27.3,NA,"OZ",NA,NA,183.396492245451,183.396492245451,183.396492245451,1.19,0.007,NA,109.8,73.596492245451
"8","Bird_2002","10.1046/j.1365-2389.2002.00444.x",NA,"Kate Heckman, Ariel Leger","USDA Forest Service, Univeristy of Arizona","kaheckman@fs.fed.us; arielleger@email.arizona.edu",2018,12,14,"Joseph Blankinship","jblankinship@email.arizona.edu",NA,"Bird, M., Santruckova, H., Lloyd, J., Lawson, E. (2002) The isotopic composition of soil organic carbon on a north-south transect in western Canada. European Journal of Soil Science 53 pp. 393-403","There are several figures that could be entered into this spreadsheet that contain calculated data not in the tables.",NA,NA,"Cypress Hills, Alberta",49.6,-110.1,"WGS84",1300,"Cordilleran forest",NA,"CYP","no pro_soil_taxon reported",49.6,-110.1,1300,"control",NA,"yes",25,2.3,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forest",NA,NA,NA,"cordilleran forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.314,NA,5,NA,NA,NA,NA,NA,NA,"north",15,133,30,10125,236,-199,435,119,-40,142,-117,409,69,18,43,165,57,160,67,604,126,133,144,151,154,156,23,24,27,27,25,25,9,9,10,13,13,15,4,5,5,4,7,8,5,3,2,1,1,12,5,364.079986572266,4.15833330154419,"Mollisol","CYP_1",1996,8,1,"yes",0,5,NA,"yes",NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.4705882352941,NA,0.314,NA,NA,NA,18.2,NA,NA,NA,-26.4,"OZ",NA,NA,182.402041411631,182.402041411631,182.402041411631,1.189,NA,NA,"chloroform fumigation extraction",NA,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,18.4705882352941,0.314,182.402041411631,NA,109.8,72.6020414116312,NA,"CYP_1_inc","root-picked soil",NA,1996,NA,NA,10,"<2 weeks",NA,NA,20,"rewetted",60,"% field capacity",NA,0.00323,"mgC/g dry soil/day",-24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.8,NA
"9","Bol_2003","10.1002/jpln.200390047",NA,"Sophie von Fromm","MPI-BGC","sfromm@bgc-jena.mpg.de",2018,10,23,"T. Bolger","tom.bolger@ucd.ie",NA,"Bol R, Bolger T, Cully R, Little D, 2003, Recalcitrant soil organic materials mineralize more efficiently at higher temperatures, Journal Plant Nutrition and Soil Science, 166, 300-307",NA,NA,2018092716,"Kilkea",52.948365,-6.893018,"WGS84",140,"additional site information from Sanger et al. (1997); Coordinates only estimation from google maps",NA,"Spruce",NA,52.948365,-6.893018,NA,"control",NA,NA,NA,9.5,750,"Inceptisols",NA,"Dystric Cambisol","WRB",NA,NA,NA,NA,NA,"cultivated","evergreen","needleleaf","C3","Norway Spruce (Picea abies) plantation since 1952; before oak plantation from 1880-1941",NA,NA,NA,NA,NA,"organic",NA,"limestone till",NA,NA,270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"north",93,75,41,3776,194,15,179,54,105,142,48,889,96,55,18,267,181,195,252,503,115,117,127,127,132,137,21,22,22,23,24,25,18,18,18,19,19,20,5,8,6,4,11,9,10,6,2,2,2,10,4,1025.80004882812,9.25500011444092,"Inceptisol","F1/A1",1996,NA,NA,NA,-2,5,NA,NA,NA,"F1  (2 cm): Fragmentation layer; A1 layer (5 cm)",NA,NA,NA,0.5,NA,"sieved < 2mm ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.8,12.8,0.448,NA,NA,NA,NA,NA,NA,NA,-24.8,"SUERC",NA,NA,240.080189773174,240.080189773174,240.080189773174,1.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,12.8,0.448,240.080189773174,NA,109.8,130.280189773174,NA,"Temp_20_a_14d","root-picked soil",NA,1996,NA,NA,14,"<2 weeks",NA,NA,20,"rewetted",NA,NA,NA,NA,NA,-25.2,NA,"SUERC",NA,NA,224.367866598823,224.367866598823,224.367866598823,1.2312,NA,NA,109.8,114.567866598823
"10","Bol_2003","10.1002/jpln.200390047",NA,"Sophie von Fromm","MPI-BGC","sfromm@bgc-jena.mpg.de",2018,10,23,"T. Bolger","tom.bolger@ucd.ie",NA,"Bol R, Bolger T, Cully R, Little D, 2003, Recalcitrant soil organic materials mineralize more efficiently at higher temperatures, Journal Plant Nutrition and Soil Science, 166, 300-307",NA,NA,2018092716,"Kilkea",52.948365,-6.893018,"WGS84",140,"additional site information from Sanger et al. (1997); Coordinates only estimation from google maps",NA,"Spruce",NA,52.948365,-6.893018,NA,"control",NA,NA,NA,9.5,750,"Inceptisols",NA,"Dystric Cambisol","WRB",NA,NA,NA,NA,NA,"cultivated","evergreen","needleleaf","C3","Norway Spruce (Picea abies) plantation since 1952; before oak plantation from 1880-1941",NA,NA,NA,NA,NA,"organic",NA,"limestone till",NA,NA,270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"north",93,75,41,3776,194,15,179,54,105,142,48,889,96,55,18,267,181,195,252,503,115,117,127,127,132,137,21,22,22,23,24,25,18,18,18,19,19,20,5,8,6,4,11,9,10,6,2,2,2,10,4,1025.80004882812,9.25500011444092,"Inceptisol","F1/A1",1996,NA,NA,NA,-2,5,NA,NA,NA,"F1  (2 cm): Fragmentation layer; A1 layer (5 cm)",NA,NA,NA,0.5,NA,"sieved < 2mm ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.8,12.8,0.448,NA,NA,NA,NA,NA,NA,NA,-24.8,"SUERC",NA,NA,240.080189773174,240.080189773174,240.080189773174,1.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,12.8,0.448,240.080189773174,NA,109.8,130.280189773174,NA,"Temp_20_b_14d","root-picked soil",NA,1996,NA,NA,14,"<2 weeks",NA,NA,20,"rewetted",NA,NA,NA,NA,NA,-25.3,NA,"SUERC",NA,NA,131.983384136972,131.983384136972,131.983384136972,1.1383,NA,NA,109.8,22.1833841369722
