entry_name,site_name,plot_name,pro_name,flx_name,flx_lat,flx_long,flx_obs_date_y,flx_obs_date_m,flx_obs_date_d,flx_pathway,flx_pathway_note,flx_analyte,flx_ecosystem_component,flx_method,flx_method_note,flx_storage_method,flx_duration,flx_duration_units,flx_keeling_plot,flx_atm_correction,flx_source_temp,flx_source_O2,flx_source_H2O,flx_rate,flx_rate_sd,flx_rate_units,flx_13c,flx_13c_sd,flx_rc_lab,flx_rc_lab_number,flx_rc_year,flx_14c,flx_14c_sigma,flx_14c_sd,flx_fraction_modern,flx_fraction_modern_sigma,flx_fraction_modern_sd,,,
Entry/Dataset Name,Site Name,Denote Sub-Site Grouping (e.g. plot),Profile Name (if flux associated with a profile),,Latitude (if distinct from profile),Longitude (if distinct from profile),Observation Year,Observation Month,Observation Day," soil emission, water evasion, bubble ebullition, plant-mediated, dissolved, suspended",,," Heterotrophic, Autotrophic, Ecosystem, or Aquatic",Sample Collection Method,Specific Details About Flux Collection Method,,Duration of Collection Period,Flux Duration Units,Was source isotopic signature estimated? (no need for atm. correction),Correction for Atmospheric Contamination (mixing model),"(soil, stream, etc.)",O2 Concentration (if aquatic source),Water Content (if soil source),Rate of Observed Flux,Standard Deviation of Observed Flux Rate (if average is reported),Units of Flux,Flux _13C,Flux _13C Standard Deviation,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,Flux _14C,Flux _14C Standard Deviation (AMS Analytical),Flux _14C Standard Deviation (Sample; If replicates reported with mean value only),Flux Fraction Modern,Flux Fraction Modern Standard Deviation (AMS Analytical),Flux Fraction Modern Standard Deviation (Sample; If replicates reported with mean value only),,,
Author_year,,,,,dec. deg,dec. deg,yyyy,mm,dd,,,"(CO2, CH4, DIC, DOC, POC, Litter)",,"(surface chamber, grab sample)",," (vial, exetainer, molecular sieve, gasbag, flask, chemical trap, gas bag)",(numeric),"(mins, hrs, days)",(yes or blank),(yes or blank),C,%,%, µmol C m-2 s-1 ,,e.g. µmol C m-2 s-1 ,ä,ä,rc_lab,,YYYY,ä,ä,ä,,,,,,
Gaudinski_2001,Howland Forest,2,Tower Pit,Tower Pit_2_1997816,,,1997,8,16,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,3.70,,µmol m-2 s-1,,,UCI,2658,,136.1847241,,,,,,,,
Gaudinski_2001,Howland Forest,1,Tower Pit,Tower Pit_1_1997816,,,1997,8,16,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,3.16,,µmol m-2 s-1,,,UCI,2660,,119.74278,,,,,,,,
Gaudinski_2001,Howland Forest,7,Tower Pit,Tower Pit_7_1997816,,,1997,8,16,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,5.45,,µmol m-2 s-1,,,UCI,2661,,122.7283864,,,,,,,,
Gaudinski_2001,Howland Forest,6,Tower Pit,Tower Pit_6_1997816,,,1997,8,16,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,4.10,,µmol m-2 s-1,,,UCI,2662,,123.8898097,,,,,,,,
Gaudinski_2001,Howland Forest,2,Tower Pit,Tower Pit_2_199863,,,1998,6,3,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,1.48,,µmol m-2 s-1,,,UCI,3283,,118.2888811,,,,,,,,
Gaudinski_2001,Howland Forest,3,Tower Pit,Tower Pit_3_199863,,,1998,6,3,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,2.57,,µmol m-2 s-1,,,UCI,3284,,142.0418976,,,,,,,,
Gaudinski_2001,Howland Forest,7,Tower Pit,Tower Pit_7_199871,,,1998,7,1,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,6.03,,µmol m-2 s-1,,,UCI,3325,,126.8232667,,,,,,,,
Gaudinski_2001,Howland Forest,6,Tower Pit,Tower Pit_6_199871,,,1998,7,1,soil emission,,CO2,ecosystem,chamber,used 13C to correct 14C data for air,molecular sieve,45,mins,,,,,,7.50,,µmol m-2 s-1,,,UCI,3326,,129.7887399,,,,,,,,
