entry_name,site_name,pro_name,lyr_name,frc_name,frc_input,frc_property,frc_scheme,frc_scheme_units,frc_lower,frc_upper,frc_agent,frc_scheme_conc,frc_comp,frc_note,frc_mass_perc,frc_obs_date_y,frc_obs_date_m,frc_obs_date_d,frc_bet_surface_area,frc_c_perc,frc_c_tot,frc_c_org,frc_c_inorg,frc_n_tot,frc_c_to_n,frc_15n,frc_13c,frc_rc_lab,frc_rc_lab_number,frc_rc_year,frc_14c,frc_14c_sigma,frc_14c_sd,frc_fraction_modern,frc_fraction_modern_sigma,frc_fraction_modern_sd,frc_mbc_method,frc_raw_mbc,frc_reported_mbc,frc_fe_py,frc_al_py,frc_si_py,frc_c_py,frc_py_notes,frc_fe_ox ,frc_al_ox ,frc_si_ox ,frc_c_ox ,frc_ox_notes ,frc_fe_hy ,frc_al_hy ,frc_si_hy ,frc_c_hy ,frc_hy_notes ,frc_fe_dith ,frc_al_dith ,frc_si_dith ,frc_quartz,frc_alkali_feldspar,frc_plag_feldspar,frc_mica_chlorite,frc_amphibole,frc_pyroxine ,frc_olivine,frc_volc_glass,frc_kaol_halloy,frc_smect_vermic,frc_gibbsite,frc_fe_oxides,frc_imog_alloph,frc_ferrihydrite,frc_zeolite,,
Entry/Dataset Name,Site Name,Profile Name,Layer Name,Fraction Sample Name,Starting Layer (bulk) or Fraction for Fractionation Scheme,Fraction Property,Fractionation Scheme,Fractionation Scheme Units,"Lower Cutoff Numerical (e.g., density, diameter, days, etc.)","Upper Cutoff Numerical (e.g., density, diameter, days, etc.)",Chemical or Physical Agent for Fractionation,Concentration of Extractant,Was Fraction a Composite?,Fraction Notes,Fraction Proportion of Sample Mass,Observation Year,Observation Month,Observation Day,,Fraction Proportion of Total Layer Carbon,Fraction Total Carbon,Fraction Organic Carbon,Fraction Inorganic,Fraction Total Nitrogen,"Fraction 
C:N",Fraction _15N,Fraction _13C,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,Fraction _14C,Fraction _14C Standard Deviation (AMS analytical),Fraction _14C Standard Deviation (sample; if replicates reported with mean value only),Fraction Fraction Modern,Fraction Fraction Modern Standard Deviation (AMS analytical),Fraction Fraction Modern Standard Deviation (sample; if replicates reported with mean value only),Microbial Biomass Method,Raw Value,Reported Value After Transformation,Pyrophosphate Extractable Fe,Pyrophosphate Extractable Al,Pyrophosphate Extractable Si,Pyrophosphate Extractable C,Pyrophosphate Extraction Notes,Oxalate Extractable Fe,Oxalate Extractable Al,Oxalate Extractable Si,Oxalate Extractable C,"Oxalate Notes: Concentration, Extraction Time, Sequential or Parallel ",Hydroxylamine Extractable Fe,Hydroxylamine Extractable Al,Hydroxylamine Extractable Si,Hydroxylamine Extractable C,"Hydroxylamine Notes: Concentration, Extraction Time, Sequential or Parallel ",Dithionite Extractable Fe,Dithionite Extractable Al,Dithionite Extractable Si,Quartz Abundance,Alkali Feldspar Abundance,Plagioclase Feldspar Abundance,Mica + Chlorite,Amphibole (hornblende),Enstatite + Augite + Diopside,Olivine Abundance,Volcanic Glass Abundance,Kaolinite + Halloysite,Smectite (montmorillonite) + Vermicullite ,Gibbsite Abundance,Goethite + Hematite + Magnetite + Lepidocrocite,Imogolite + Allophane,Ferrihydrite Abundance,Zeolite Abundance,,
Author_year,,,,,(frc_name or layer_name),(f_property),(f_scheme),(f_scheme_units),,,,moles,(yes or blank),,%,yyyy,mm,dd,,%,%,%,%,%,,ä,ä,,,YYYY,ä,ä,ä,,,,(mbc_method),mgC/g,mgC/g,mg g-1,mg g-1,mg g-1,mg g-1,,mg g-1,mg g-1,mg g-1,mg g-1,,mg g-1,mg g-1,mg g-1,mg g-1,,mg g-1,mg g-1,mg g-1,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,Tower Pit_1996_E_LF,Tower Pit_1996_E,free light,Density,g cm^-3,0,2.1,SPT,,,,12.8,,,,,0.8,,32.4,,0.68,48,,,UCI,,1999,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,Tower Pit_1996_E_HF,Tower Pit_1996_E,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,87.2,,,,,,,1.07,,0.08,,,,UCI,,1999,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,Tower Pit_1996_E_Roots,Tower Pit_1996_E,roots,Manual_Separation,mm,0,2,manual,,,,20.4,,,,,,,,,,,,,UCI,,1999,127.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,Tower Pit_1996_E_LF_<80um,Tower Pit_1996_E_LF,,Particle_Size,um,0,80,wet sieve,,,19% of LF,,,,,,,,,,,,,,UCI,,1999,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,Tower Pit_1996_E_LF_>80um,Tower Pit_1996_E_HF,,Particle_Size,um,80,2000,wet sieve,,,81% of LF,,,,,,,,,,,,,,UCI,,1999,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bhs,Tower Pit_1996_Bhs_LF,Tower Pit_1996_Bhs,free light,Density,g cm^-3,0,2.1,SPT,,,,9.2,,,,,29.4,,,,0.44,32,,,UCI,,1999,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bhs,Tower Pit_1996_Bhs_HF,Tower Pit_1996_Bhs,heavy,Density,g cm^-3,2.1,Inf,SPT,,,,90.8,,,,,,,,,,,,,UCI,,1999,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bhs,Tower Pit_1996_Bhs_Roots,Tower Pit_1996_Bhs,roots,Manual_Separation,mm,0,2,manual,,,,,,,,,,,,,,,,,UCI,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
