entry_name,site_name,pro_name,lyr_name,frc_name,inc_name,inc_type,inc_note,inc_obs_date_y,inc_obs_date_m,inc_obs_date_d,inc_duration,inc_duration_type,inc_temp,inc_moisture_type,inc_moisture,inc_moisture_units,inc_C_respired,inc_flux,inc_flux_units,inc_13c,inc_13c_sd,inc_rc_lab,inc_rc_lab_number,inc_rc_year,inc_14c,inc_14c_sigma,inc_14c_sd,inc_fraction_modern,inc_fraction_modern_sigma,inc_fraction_modern_sd
Entry/Dataset Name,Site Name,Profile name,Layer name (choose from dropdown or enter new layer),Associated Fraction Name (if applicable),,Material Incubated,Soil Layer or Horizon Notes,Observation Year,Observation Month,Observation Day,Length of incubation prior to this sample measurement (not total duration),,,Was sample rewetted or measured directly from field?,Measured Moisture (gravimetric),,% of Layer or Fraction Total C Respired Over Incubation Duration,Measured CO2 Flux Over Duration of Incubation,,incubation _13C,incubation _13C Std Dev,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,Incubation _14C,Incubation _14C Standard Deviation (AMS analytical),Incubation _14C Standard Deviation (sample; If replicates reported with mean value only),Incubation Fraction Modern,Incubation Fraction Modern Standard Deviation (AMS analytical),Incubation Fraction Modern Standard Deviation (sample; If replicates reported with mean value only)
Author_year,,,,,,,,yyyy,mm,dd,days,(inc_duration_type),¡C,,,,%,,,ä,ä,,,YYYY,ä,ä,ä,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oi,,Tower Pit_1996_Oi_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,3.182,mgC/g dry soil/day,-26.4,,,,1999,153.4304992,5,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oe,,Tower Pit_1996_Oe_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.878,mgC/g dry soil/day,-26.4,,,,1999,139.8905242,5,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oa,,Tower Pit_1996_Oa_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,1.932,mgC/g dry soil/day,-26.1,,,,1999,116.3364807,5,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_E,,Tower Pit_1996_E_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.109,mgC/g dry soil/day,-26.5,,,,1999,118.7115313,4,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bhs,,Tower Pit_1996_Bhs_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.211,mgC/g dry soil/day,-26.8,,,,1999,116.8879644,5,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Bh,,Tower Pit_1996_Bh_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.077,mgC/g dry soil/day,-26.8,,,,1999,87.17219053,4,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Oi,,Nutrient Control Pit_1997_Oi_inc1,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,5.525,mgC/g dry soil/day,-27.2,,,,1999,130.453913,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Oi,,Nutrient Control Pit_1997_Oi_inc2,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,9.825,mgC/g dry soil/day,-26.5,,,,1999,159.3872145,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Oi,,Nutrient Control Pit_1997_Oi_inc3,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.458,mgC/g dry soil/day,-26.6,,,,1999,156.8062325,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_O,,Nutrient Control Pit_1997_O_inc1,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,1.918,mgC/g dry soil/day,-26.4,,,,1999,107.8077018,4,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_O,,Nutrient Control Pit_1997_O_inc2,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,2.091,mgC/g dry soil/day,-26.4,,,,1999,98.82665825,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_O,,Nutrient Control Pit_1997_O_inc3,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,1.103,mgC/g dry soil/day,-26,,,,1999,71.55837493,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_E,,Nutrient Control Pit_1997_E_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.029,mgC/g dry soil/day,-25.8,,,,1999,135.4,4,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bh,,Nutrient Control Pit_1997_Bh_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.074,mgC/g dry soil/day,-26.1,,,,1999,87.20496805,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bs,,Nutrient Control Pit_1997_Bs_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.034,mgC/g dry soil/day,-25.6,,,,1999,74.86763168,5,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_BC,,Nutrient Control Pit_1997_BC_inc,root-picked soil,,1999,7,13,12,<2 weeks,17,rewetted,,,,0.018,mgC/g dry soil/day,-24.2,,,,1999,69.39855798,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
