entry_name,site_name,pro_name,ist_name,ist_obs_date_y,ist_obs_date_m,ist_obs_date_d,ist_depth,ist_phase,ist_analyte,ist_method,ist_storage_method,ist_time_dur,ist_temp,ist_source_O2,ist_source_H2O,ist_concentration,ist_concentration_units,ist_13c,ist_13c_sd,ist_rc_lab,ist_rc_lab_number,ist_rc_year,ist_14c,ist_14c_sigma,ist_14c_sd,ist_fraction_modern,ist_fraction_modern_sigma,ist_fraction_modern_sd,
Entry/Dataset Name,Site Name,Profile Name,,Observation Year,Observation Month,Observation Day,Depth of Interstitial Measurement,Interstitial Phase ," e.g. CO2, CH4, DIC, DOC, POC","Interstitial Collection Method (pump or equilibrate, e.g. peeper)","Interstitial Storage Method (vial, exetainer, sieve, gasbag, flask, chemical trap)",Interstitial Duration,Interstitial Source Temperature (soil at depth),O2 Concentration (if aquatic source),Water Content (if soil source),Concentration of Analyte,,Interstitial _13C,Interstitial _13C Standard Deviation,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,Interstitial _14C,Interstitial _14C Standard Deviation (AMS analytical),Interstitial _14C Standard Deviation (sample; If replicates reported with mean value only),Interstitial Fraction Modern,Interstitial Fraction Modern Standard Deviation (AMS Analytical),Interstitial Fraction Modern Standard Deviation (Sample; If replicates reported with mean value only),
Author_year,,,,yyyy,mm,dd,cm,"(gas, liquid, frozen)",,,,"(²1hr, etc.)",C,%,,,,ä,ä,,,YYYY,ä,ä,ä,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1997816,1997,8,16,15,gas,CO2,equilibrate,vial,,,,,0.33,% (v/v),-21,,UCI,2642,1997,103.9,5.8,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_32_1997816,1997,8,16,32,gas,CO2,equilibrate,vial,,,,,0.45,% (v/v),-20.7,,UCI,2641,1997,89.7,6.2,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_10_199863,1998,6,3,10,gas,CO2,equilibrate,vial,,,,,0.15,% (v/v),-18.36,,UCI,3295,1998,97.9,4.94,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_32_199863,1998,6,3,32,gas,CO2,equilibrate,vial,,,,,0.38,% (v/v),-21.11,,UCI,3296,1998,119.2,5.08,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_50_199863,1998,6,3,50,gas,CO2,equilibrate,vial,,,,,0.56,% (v/v),-21.87,,UCI,3297,1998,98.5,7.28,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_199871,1998,7,1,6,gas,CO2,equilibrate,vial,,,,,0.22,% (v/v),-20.3,,UCI,3699,1998,115.2,5.6,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_32_199871,1998,7,1,32,gas,CO2,equilibrate,vial,,,,,0.72,% (v/v),-22.0,,UCI,3700,1998,121.6,6.4,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_199871,1998,7,1,15,gas,CO2,equilibrate,vial,,,,,0.35,% (v/v),-21,,UCI,4151,1998,117.2,9.2,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_1998921,1998,9,21,6,gas,CO2,equilibrate,vial,,,,,0.15,% (v/v),-19.8,,UCI,3697,1998,108.2,5.2,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1998921,1998,9,21,15,gas,CO2,equilibrate,vial,,,,,0.2,% (v/v),-22,,UCI,3595,1998,142.0,6.9,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_19981019,1998,10,19,6,gas,CO2,equilibrate,vial,,,,,0.09,% (v/v),,,UCI,3613,1998,125.5,6.0,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_19981019,1998,10,19,15,gas,CO2,equilibrate,vial,,,,,0.19,% (v/v),-20.2,,UCI,3681,1998,97.7,5.9,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_19981019,1998,10,19,51,gas,CO2,equilibrate,vial,,,,,0.52,% (v/v),-21.9,,UCI,3682,1998,95.7,5.9,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1999429,1999,4,29,15,gas,CO2,equilibrate,vial,,,,,0.14,% (v/v),-19.46,,UCI,4626,1999,114.8,5.5,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_1999429,1999,4,29,51,gas,CO2,equilibrate,vial,,,,,0.32,% (v/v),-21.55,,UCI,4627,1999,120.7,5.5,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_199968,1999,6,8,6,gas,CO2,equilibrate,vial,,,,,0.17,% (v/v),-20.21,,UCI,4717,1999,112.4,5.7,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_199968,1999,6,8,15,gas,CO2,equilibrate,vial,,,,,0.32,% (v/v),-20.3,,UCI,4718,1999,104.1,5.8,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_199968,1999,6,8,51,gas,CO2,equilibrate,vial,,,,,0.34,% (v/v),-21.1,,UCI,4719,1999,109.3,5.8,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_1999712,1999,7,12,6,gas,CO2,equilibrate,vial,,,,,0.21,% (v/v),-20.46,,UCI,4818,1999,117.4,4.4,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1999712,1999,7,12,15,gas,CO2,equilibrate,vial,,,,,0.32,% (v/v),-21.45,,UCI,4819,1999,117.2,4.2,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_1998712,1998,7,12,51,gas,CO2,equilibrate,vial,,,,,0.67,% (v/v),-21.88,,UCI,420,1999,119.4,4.0,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_1998813,1998,8,13,6,gas,CO2,equilibrate,vial,,,,,0.07,% (v/v),-19.5,,UCI,4228,1999,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1998813,1998,8,13,15,gas,CO2,equilibrate,vial,,,,,0.1,% (v/v),-20.6,,UCI,4230,1999,102.6,5.51,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_1998813,1998,8,13,51,gas,CO2,equilibrate,vial,,,,,0.22,% (v/v),-21.1,,UCI,4229,1999,111.9,6.52,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_1997101,1997,10,1,6,gas,CO2,equilibrate,vial,,,,,0.14,% (v/v),-19.5,,UCI,4390,1999,109.4,5.5,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_1997101,1997,10,1,15,gas,CO2,equilibrate,vial,,,,,0.26,% (v/v),-21.3,,UCI,4391,1999,94.0,5.5,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_2000101,2000,10,1,51,gas,CO2,equilibrate,vial,,,,,0.64,% (v/v),-22.3,,UCI,4394,1999,113.5,5.6,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_2000520,2000,5,20,6,gas,CO2,equilibrate,vial,,,,,0.09,% (v/v),-24.0,,UCI,5445,2000,108.6,5.5,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_15_2000520,2000,5,20,15,gas,CO2,equilibrate,vial,,,,,0.17,% (v/v),-20.0,,UCI,5437,2000,102.3,5.4,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_2000530,2000,5,30,51,gas,CO2,equilibrate,vial,,,,,0.53,% (v/v),-21.4,,UCI,5346,2000,113.2,5.4,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_6_200457,2004,5,7,6,gas,CO2,equilibrate,vial,,,,,,,-18,,,,2004,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_20_200457,2004,5,7,20,gas,CO2,equilibrate,vial,,,,,,,-19.2,,UCI,10970,2004,186.3,2.4,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_51_200457,2004,5,7,51,gas,CO2,equilibrate,vial,,,,,,,-21.1,,UCI,10968,2004,85.1,2.2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
