entry_name,site_name,pro_name,lyr_name,lyr_obs_date_y,lyr_obs_date_m,lyr_obs_date_d,lyr_all_org_neg,lyr_top,lyr_bot,lyr_hzn,lyr_note,lyr_color,lyr_burn_ev,lyr_bd_samp,lyr_bd_tot,lyr_bd_notes,lyr_sand_tot_psa,lyr_silt_tot_psa,lyr_clay_tot_psa,lyr_coarse_tot,lyr_coarse_size_thresh,lyr_texture_class,lyr_bet_surface_area,lyr_ph_cacl,lyr_ph_h2o,lyr_ph,lyr_ph_method,lyr_cat_exch,lyr_base_sum,lyr_cec_sum ,lyr_ca_exch,lyr_na_exch,lyr_mg_exch,lyr_k_exch,lyr_ecec,lyr_bs ,lyr_c_inorg,lyr_c_org,lyr_c_tot,lyr_soc,lyr_soc_sigma,lyr_n_tot,lyr_c_to_n,lyr_loi,lyr_15n,lyr_13c,lyr_rc_lab,lyr_rc_lab_number,lyr_rc_year,lyr_14c,lyr_14c_sigma,lyr_14c_sd,lyr_fraction_modern,lyr_fraction_modern_sigma,lyr_fraction_modern_sd,lyr_mbc_method,lyr_raw_mbc,lyr_reported_mbc,lyr_p_ext ,lyr_p_units ,lyr_p_method,lyr_fe_py,lyr_al_py,lyr_si_py,lyr_c_py,lyr_py_notes,lyr_fe_ox,lyr_al_ox,lyr_si_ox,lyr_c_ox,lyr_ox_notes,lyr_fe_hy,lyr_al_hy,lyr_si_hy,lyr_c_hy,lyr_hy_notes,lyr_fe_dith,lyr_al_dith,lyr_si_dith,lyr_dith_notes,lyr_quartz,lyr_alkali_feldspar,lyr_plag_feldspar,lyr_mica_chlorite,lyr_amphibole,lyr_pyroxine ,lyr_olivine,lyr_volc_glass,lyr_kaol_halloy,lyr_smect_vermic,lyr_gibbsite,lyr_fe_oxides,lyr_imog_alloph,lyr_ferrihydrite,lyr_calcite_dolomite,lyr_zeolite
Entry/Dataset Name,Site Name,Profile Name,Layer Name,Observation Year,Observation Month,Observation Day,Flag if mineral interface is unknown and depth is measured from atmosphere interface,Layer Top,Layer Bottom,Horizon ,Soil Layer or Horizon Notes,Moist Munsell Color,Evidence of Burning,"Bulk Density, Coarse Fragments Removed",Bulk Density With Coarse Fragments,Bulk Density Method or Other Notes,Percent Sand,Percent Silt,Percent Clay,Coarse Fraction,Coarse Fraction Size Threshold Used,Texture Class,Bulk Layer Surface Area Measured by BET,Soil pH CaCl2,Soil pH 1:1,Soil pH ,Method Used to Measure pH,Cation Exchange ,Sum of Bases,Sum of Cation Exchange Capacity,Exchangeable Calcium,Exchangeable Sodium,Exchangeable Magnesium,Exchangeable Potassium,Effective Cation Exchange Capacity,% Base Saturation,Inorganic Carbon,Organic Carbon,Total Carbon,Bulk Layer Reported Soil Organic Carbon Stock,Bulk Layer Reported Soil Organic Carbon Stock Standard Deviation,Bulk Layer Total Nitrogen,Bulk Layer C:N,Bulk Layer Loss on Ignition,Bulk Layer _15N,Bulk Layer _13C,Radiocarbon Laboratory ID,Radiocarbon Laboratory Sample Number,Radiocarbon Analysis Year,Bulk Layer _14C,Bulk Layer _14C Standard Deviation (AMS analytical),Bulk Layer _14C Standard Deviation (sample; If replicates reported with mean value only),Bulk Layer Fraction Modern,Bulk Layer Fraction Modern Standard Deviation (AMS analytical),Bulk Layer Fraction Modern Standard Deviation (sample; If replicates reported with mean value only),Microbial Biomass Method,Raw Value,Reported Value After Transformation,Extractable Phosphorus,Specify Units for P Data,Specify Method for P,Pyrophosphate Extractable Fe,Pyrophosphate Extractable Al,Pyrophosphate Extractable Si,Pyrophosphate Extractable C,"Pyrophosphate Notes: Concentration, Extraction Time, Sequential or Parallel ",Oxalate Extractable Fe,Oxalate Extractable Al,Oxalate Extractable Si,Oxalate Extractable C,"Oxalate Notes: Concentration, Extraction Time, Sequential or Parallel ",Hydroxylamine Extractable Fe,Hydroxylamine Extractable Al,Hydroxylamine Extractable Si,Hydroxylamine Extractable C,"Hydroxylamine Notes: Concentration, Extraction Time, Sequential or Parallel ",Dithionite Extractable Fe,Dithionite Extractable Al,Dithionite Extractable Si,"Dithionite Notes: Concentration, Extraction Time, Sequential or Parallel ",Quartz Abundance,Alkali Feldspar Abundance,Plagioclase Feldspar Abundance,Mica + Chlorite Abundance,Amphibole (hornblende),Enstatite + Augite + Diopside,Olivine Abundance,Volcanic Glass Abundance,Kaolinite + Halloysite,Smectite (montmorillonite) + Vermicullite ,Gibbsite Abundance,Goethite + Hematite + Magnetite + Lepidocrocite,Imogolite + Allophane,Ferrihydrite Abundance,Calcite + Dolomite Abundance,Zeolite Abundance
Author_year,,,,yyyy,mm,dd,(yes or blank),cm,cm,,,,(burn or blank),g cm-3,g cm-3,,%,%,%,%,,(texture_class),,,,,(ph_method),cmol H+ kg-1,meq 100g-1,meq 100g-1,meq 100g-1,meq 100g-1,meq 100g-1,meq 100g-1,meq 100g-1,%,%,%,%,g cm-2,g cm-2,%,unitless,%,ä,ä,rc_lab,,YYYY,ä,ä,ä,,,ä,(mbc_method),mgC/g,mgC/g,,,,mg/g,mg/g,mg/g,mg/g,,mg/g,mg/g,mg/g,mg/g,,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++,% or +/++/+++
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Oi,1997,,,,-4.2,-3.2,Oi,,,,0.12,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_O,1997,,,,-3.2,0,O,,,,0.12,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_E,1997,,,,0,1.5,E,,,,0.52,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bh,1997,,,,1.5,6.1,Bh,,,,0.67,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_Bs,1997,,,,6.1,36.1,Bs,,,,0.98,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Nutrient Control Pit,Nutrient Control Pit_1997_BC,1997,,,,36.1,60,BC,Depth estimated (not reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oi,1996,,,,-10,-8,Oi,,,,0.14,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,49.3,,0.1380,,0.89,,,,,,,1999,182.8957708,7.751342835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaudinski_2001,Howland Forest,Tower Pit,Tower Pit_1996_Oe,1996,,,,-8,-4,Oe,,,,0.14,,Data from Fernandez 1993a,,,,,,,,,,,,,,,,,,,,,,47.8,,0.2677,,1.2,,,,,,,1999,106.7110123,6.635004488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
