Calendar year	D14C in per mil
-10000.5	193.4
-9999.5	193.4
-9998.5	193.4
-9997.5	193.4
-9996.5	193.4
-9995.5	193.4
-9994.5	193.4
-9993.5	193.4
-9992.5	193.4
-9991.5	193.3
-9990.5	193.3
-9989.5	193.3
-9988.5	193.3
-9987.5	193.2
-9986.5	193.2
-9985.5	193.2
-9984.5	193.2
-9983.5	193.1
-9982.5	193.1
-9981.5	193
-9980.5	192.9
-9979.5	192.9
-9978.5	192.8
-9977.5	192.8
-9976.5	192.7
-9975.5	192.6
-9974.5	192.6
-9973.5	192.5
-9972.5	192.4
-9971.5	192.3
-9970.5	192.2
-9969.5	192.1
-9968.5	192
-9967.5	191.9
-9966.5	191.8
-9965.5	191.7
-9964.5	191.5
-9963.5	191.4
-9962.5	191.2
-9961.5	191.1
-9960.5	191
-9959.5	190.8
-9958.5	190.6
-9957.5	190.4
-9956.5	190.3
-9955.5	190.1
-9954.5	189.9
-9953.5	189.8
-9952.5	189.6
-9951.5	189.4
-9950.5	189.3
-9949.5	189.1
-9948.5	188.9
-9947.5	188.6
-9946.5	188.4
-9945.5	188.2
-9944.5	188
-9943.5	187.8
-9942.5	187.6
-9941.5	187.3
-9940.5	187.1
-9939.5	186.9
-9938.5	186.6
-9937.5	186.4
-9936.5	186.2
-9935.5	185.9
-9934.5	185.7
-9933.5	185.4
-9932.5	185.2
-9931.5	184.9
-9930.5	184.6
-9929.5	184.4
-9928.5	184.1
-9927.5	183.8
-9926.5	183.6
-9925.5	183.3
-9924.5	183.1
-9923.5	182.8
-9922.5	182.5
-9921.5	182.2
-9920.5	181.9
-9919.5	181.7
-9918.5	181.4
-9917.5	181.2
-9916.5	180.9
-9915.5	180.6
-9914.5	180.4
-9913.5	180.1
-9912.5	179.8
-9911.5	179.6
-9910.5	179.3
-9909.5	179.1
-9908.5	178.9
-9907.5	178.7
-9906.5	178.5
-9905.5	178.3
-9904.5	178.1
-9903.5	178
-9902.5	177.8
-9901.5	177.6
-9900.5	177.5
-9899.5	177.4
-9898.5	177.3
-9897.5	177.3
-9896.5	177.3
-9895.5	177.2
-9894.5	177.2
-9893.5	177.2
-9892.5	177.2
-9891.5	177.3
-9890.5	177.3
-9889.5	177.3
-9888.5	177.4
-9887.5	177.4
-9886.5	177.4
-9885.5	177.5
-9884.5	177.6
-9883.5	177.7
-9882.5	177.8
-9881.5	177.8
-9880.5	177.9
-9879.5	178
-9878.5	178.1
-9877.5	178.2
-9876.5	178.2
-9875.5	178.3
-9874.5	178.4
-9873.5	178.5
-9872.5	178.6
-9871.5	178.7
-9870.5	178.8
-9869.5	178.9
-9868.5	179
-9867.5	179.1
-9866.5	179.1
-9865.5	179.2
-9864.5	179.2
-9863.5	179.2
-9862.5	179.2
-9861.5	179.2
-9860.5	179.2
-9859.5	179.2
-9858.5	179.2
-9857.5	179.1
-9856.5	179.1
-9855.5	179.1
-9854.5	179.1
-9853.5	179
-9852.5	178.9
-9851.5	178.9
-9850.5	178.8
